Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador
La strada,Federico Fellini,Italia,1956​​,Drama,104,"Anthony Quinn, Giulietta Masina, Richard Basehart",Italiano,"Dino De Laurentiis, Carlo Ponti","Federico Fellini, Ennio Flaiano, Tullio Pinelli",Nino Rota,Otello Martelli,,,,,1
Gervaise,René Clément,Francia,1956​​,Drama,122,María Schell François Périer Suzie Delair Armand Mestral,Francés,Agnès Delahaie,Jean Aurenche Pierre Bost Basado en la novela la novela de Émile Zola L'assommoir,Georges Auric,Robert Juillard,Antoine Mayo,Agnes Delahaie Productions Silver Films Compagnie Industrielle et Commerciale Cinématographique Cino del Duca,,,0
El arpa birmana,Kon Ichikawa,Japón,1956​​,"Drama, bélico",143,"Jun Hamamura, Rentarō Mikuni, Shōji Yasui, Taketoshi Naito, Kō Nishimura",japonés,Masayuki Takagi,Natto Wada,Akira Ifukube,Minoru Yokoyama,,Nikkatsu,,,0
Qivitoq,Erik Balling,Dinamarca,1956​​,Drama,120,"Poul Reichhardt, Astrid Villaume, Gunnar Lauring, Bjørn Watt Boolsen, Randi Michelsen, Kirsten Rolffes",Danés,,Leck Fischer,Svend Erik Tarp,Poul Pedersen,Inger Sepstrup,Nordisk Film Kompagni,,,0
Las noches de Cabiria,Federico Fellini,Italia,1957​,Drama,117,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray, Aldo Silvani, Ennio Girolami, Mario Passante, Amedeo Nazzari",Italiano,Dino De Laurentiis,"Ennio Flaiano, Tullio Pinelli, Federico Fellini, Pier Paolo Pasolini","Pasquale Bonagura, Nino Rota","Aldo Tonti, Otello Martelli",Piero Gherardi,,,,1
"Nachts, wenn der Teufel kam",Robert Siodmak,Alemania,1957​,Drama,97,"Mario Adorf, Claus Holm, Hannes Messemer, Werner Peters",Idioma alemán,Robert Siodmak,Werner Jorg Luddecke,Siegfried Franz,Georg Krause,,,,,0
Madre India,Mehboob Khan,India,1957​,Drama,172,"Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar, Kanhaiyalal, Jilloo Maa, Kumkum, Mukri, Sajid Khan",Hindi,Mehboob Khan,S. Ali Raza,Naushad,Faredoon Irani,,Mehboob Studio,,,0
Mi tío,Jacques Tati,Francia,1958​,Comedia,120,"Jacques Tati, Jean-Pierre Zola Adrienne Servantie, Alain Bécourt, Lucien Fregis, Betty Schneider, Yvonne Arnaud",Francés,Jacques Tati,"Jacques Tati, Jacques Lagrange",Alain Romans Franck Barcellini,Jean Bourgoin,Jacques Cottin,Gaumont Film Company,250000,,1
La venganza,Juan Antonio Bardem,España,1958​,Drama,122,"Carmen Sevilla, Raf Vallone, Jorge Mistral, José Prada, Manuel Alexandre, Manuel PeiróConchita Bautista",Español,"Cesáreo González, Manuel J. Goyanes",Juan Antonio Bardem,Isidro B. Maiztegui,Mario Pacheco,Humberto Cornejo,Suevia Films,,,0
Los desconocidos de siempre,Mario Monicelli,Italia,1958​,"Comedia, policiaco",106,Vittorio Gassman Renato Salvatori Memmo Carotenuto Carla Gravina Claudia Cardinale Marcello Mastroianni Totò,Italiano,Franco Cristaldi,"Agenore Incrocci, Furio Scarpelli Suso Cecchi d'Amico Mario Monicelli Basado en el cuento de Italo Calvino Robo en una pastelería, publicado en su libro de 1946 Por último, el cuervo",Piero Umiliani,Gianni Di Venanzo,Piero Gherardi,Cinecittà Lux Film Vides Cinematografica,,,0
Orfeo negro,Marcel Camus,"Brasil, Francia, Italia",1959​,Fantasía,100,"Breno Mello, Marpessa Dawn, Lourdes de Oliveira, Léa Garcia, Jorge Dos Santos, Ademar Da Silva",Portugués,Sacha Gordine,"Marcel Camus, Jacques Viot",Luiz BonfáAntonio Carlos Jobim,Jean Bourgoin,,Warner Bros.Warner Bros. Pictures,,750000,1
El puente,Bernhard Wicki,Alemania Occidental,1959​,Drama bélico,105,"Folker Bohnet, Fritz Wepper, Michael Hinz, Frank Glaubrecht, Karl Michael Balzer, Volker Lechtenbrink, Günther Hoffmann",Alemán,Fono Film,"Bernhard Wicki, Karl-Wilhelm Vivier, Michael Mansfeld",Hans-Martin Majewski,Gerd von Bonin,,,,,0
La Gran Guerra,Mario Monicelli,"Italia, Francia",1959​,"Comedia, drama, bélico",137,"Vittorio Gassman, Alberto Sordi, Silvana Mangano",Italiano,Dino De Laurentiis,"Mario Monicelli, Agenore Incrocci, Furio Scarpelli, Luciano Vincenzoni, Carlo Salsa",Nino Rota,"Roberto Gerardi, Giuseppe Rotunno, Leonida Barboni, Giuseppe Serrandi",Danilo Donati,"Dino de Laurentiis Cinematográfica, Gray-Film",,,0
El manantial de la doncella,Ingmar Bergman,Suecia,1960,Fantasía,89,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson, Axel Düberg",suecoalemán,"Ingmar Bergman, Allan Ekelund",Ulla Isaksson,Erik Nordgren,Sven Nykvist,Marik Vos-Lundh,Svensk Filmindustri,,,1
