,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
0,La strada,Federico Fellini,Italia,1956,Drama,104.0,"Anthony Quinn, Giulietta Masina, Richard Basehart",Italiano,"Dino De Laurentiis, Carlo Ponti","Federico Fellini, Ennio Flaiano, Tullio Pinelli",Nino Rota,Otello Martelli,,,,,1,federico fellini,italia,drama,anthony quinn,italiano,dino de,federico fellini,nino rota,otello martelli,,,-0.401527200889886,,
1,Gervaise,René Clément,Francia,1956,Drama,122.0,María Schell François Périer Suzie Delair Armand Mestral,Francés,Agnès Delahaie,Jean Aurenche Pierre Bost Basado en la novela la novela de Émile Zola L'assommoir,Georges Auric,Robert Juillard,Antoine Mayo,Agnes Delahaie Productions Silver Films Compagnie Industrielle et Commerciale Cinématographique Cino del Duca,,,0,rene clement,francia,drama,maria schell,frances,agnes delahaie,jean aurenche,georges auric,robert juillard,antoine mayo,agnes delahaie,0.10263160637200545,,
2,El arpa birmana,Kon Ichikawa,Japón,1956,"Drama, bélico",143.0,"Jun Hamamura, Rentarō Mikuni, Shōji Yasui, Taketoshi Naito, Kō Nishimura",japonés,Masayuki Takagi,Natto Wada,Akira Ifukube,Minoru Yokoyama,,Nikkatsu,,,0,kon ichikawa,japon,drama,jun hamamura,japones,masayuki takagi,natto wada,akira ifukube,minoru yokoyama,,nikkatsu,0.6908168815108788,,
3,Qivitoq,Erik Balling,Dinamarca,1956,Drama,120.0,"Poul Reichhardt, Astrid Villaume, Gunnar Lauring, Bjørn Watt Boolsen, Randi Michelsen, Kirsten Rolffes",Danés,,Leck Fischer,Svend Erik Tarp,Poul Pedersen,Inger Sepstrup,Nordisk Film Kompagni,,,0,erik balling,dinamarca,drama,poul reichhardt,danes,,leck fischer,svend erik,poul pedersen,inger sepstrup,nordisk film,0.04661396112068417,,
4,Las noches de Cabiria,Federico Fellini,Italia,1957,Drama,117.0,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray, Aldo Silvani, Ennio Girolami, Mario Passante, Amedeo Nazzari",Italiano,Dino De Laurentiis,"Ennio Flaiano, Tullio Pinelli, Federico Fellini, Pier Paolo Pasolini","Pasquale Bonagura, Nino Rota","Aldo Tonti, Otello Martelli",Piero Gherardi,,,,1,federico fellini,italia,drama,giulietta masina,italiano,dino de,ennio flaiano,pasquale bonagura,aldo tonti,piero gherardi,,-0.03741250675629774,,
5,"Nachts, wenn der Teufel kam",Robert Siodmak,Alemania,1957,Drama,97.0,"Mario Adorf, Claus Holm, Hannes Messemer, Werner Peters",Idioma alemán,Robert Siodmak,Werner Jorg Luddecke,Siegfried Franz,Georg Krause,,,,,0,robert siodmak,alemania,drama,mario adorf,idioma aleman,robert siodmak,werner jorg,siegfried franz,georg krause,,,-0.5975889592695105,,
6,Madre India,Mehboob Khan,India,1957,Drama,172.0,"Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar, Kanhaiyalal, Jilloo Maa, Kumkum, Mukri, Sajid Khan",Hindi,Mehboob Khan,S. Ali Raza,Naushad,Faredoon Irani,,Mehboob Studio,,,0,mehboob khan,india,drama,nargis,hindi,mehboob khan,s. ali,naushad,faredoon irani,,mehboob studio,1.5030727376550372,,
7,Mi tío,Jacques Tati,Francia,1958,Comedia,120.0,"Jacques Tati, Jean-Pierre Zola Adrienne Servantie, Alain Bécourt, Lucien Fregis, Betty Schneider, Yvonne Arnaud",Francés,Jacques Tati,"Jacques Tati, Jacques Lagrange",Alain Romans Franck Barcellini,Jean Bourgoin,Jacques Cottin,Gaumont Film Company,250000.0,,1,jacques tati,francia,comedia,jacques tati,frances,jacques tati,jacques tati,alain romans,jean bourgoin,jacques cottin,gaumont film,0.04661396112068417,-0.13493820402464318,
8,La venganza,Juan Antonio Bardem,España,1958,Drama,122.0,"Carmen Sevilla, Raf Vallone, Jorge Mistral, José Prada, Manuel Alexandre, Manuel PeiróConchita Bautista",Español,"Cesáreo González, Manuel J. Goyanes",Juan Antonio Bardem,Isidro B. Maiztegui,Mario Pacheco,Humberto Cornejo,Suevia Films,,,0,juan antonio,espana,drama,carmen sevilla,espanol,cesareo gonzalez,juan antonio,isidro b.,mario pacheco,humberto cornejo,suevia films,0.10263160637200545,,
9,Los desconocidos de siempre,Mario Monicelli,Italia,1958,"Comedia, policiaco",106.0,Vittorio Gassman Renato Salvatori Memmo Carotenuto Carla Gravina Claudia Cardinale Marcello Mastroianni Totò,Italiano,Franco Cristaldi,"Agenore Incrocci, Furio Scarpelli Suso Cecchi d'Amico Mario Monicelli Basado en el cuento de Italo Calvino Robo en una pastelería, publicado en su libro de 1946 Por último, el cuervo",Piero Umiliani,Gianni Di Venanzo,Piero Gherardi,Cinecittà Lux Film Vides Cinematografica,,,0,mario monicelli,italia,comedia,vittorio gassman,italiano,franco cristaldi,el cuervo,piero umiliani,gianni di,piero gherardi,cinecitta lux,-0.3455095556385647,,
